Date,Page Views,Add to Cart,Purchase Frequency,Customer Satisfaction
2023-01-01,302,68,0.08945723153189238,4
2023-01-02,305,68,0.10299405869302329,3
2023-01-03,347,61,0.0661367358388383,5
2023-01-04,258,67,0.10719958782835928,4
2023-01-05,271,65,0.13054323292999864,5
2023-01-06,262,69,0.1260160929790159,5
2023-01-07,338,48,0.06538999046937737,4
2023-01-08,297,46,0.06492494697414739,5
2023-01-09,267,65,0.07681743677449134,5
2023-01-10,325,60,0.08610747263410372,3
2023-01-11,289,63,0.09084555814084826,5
2023-01-12,266,54,0.11796972168333453,5
2023-01-13,264,41,0.05566804321658354,5
2023-01-14,264,62,0.05346727042260664,5
2023-01-15,328,59,0.0891910562943909,4
2023-01-16,312,64,0.11971636921379804,3
2023-01-17,288,51,0.06934353429564825,5
2023-01-18,262,40,0.11415044812562516,5
2023-01-19,330,62,0.07598281379402995,4
2023-01-20,281,61,0.13860861088135162,5
2023-01-21,258,47,0.13956899442666165,4
2023-01-22,289,44,0.07972872042813264,3
2023-01-23,269,54,0.07299937539632405,3
2023-01-24,339,40,0.09113039720662312,5
2023-01-25,340,40,0.07405315851801487,5
2023-01-26,334,64,0.11723838432917036,5
2023-01-27,331,49,0.13260646845482854,4
2023-01-28,326,61,0.1173092130911217,5
2023-01-29,329,49,0.13243504472493495,5
2023-01-30,322,60,0.08969921622074742,3
2023-01-31,312,54,0.06563169707088609,5
2023-02-01,325,56,0.1237950947397592,3
2023-02-02,293,61,0.08604745051415538,5
2023-02-03,287,45,0.11712708252291325,3
2023-02-04,332,42,0.07706439419817657,5
2023-02-05,309,52,0.05812296348066727,3
2023-02-06,320,55,0.14925817954877635,4
2023-02-07,348,47,0.06562015079305993,3
2023-02-08,297,69,0.1488420993963481,3
2023-02-09,267,54,0.1477279932566447,3
2023-02-10,265,56,0.12938181039080396,5
2023-02-11,304,56,0.11594229620819975,5
2023-02-12,288,61,0.10778070502510848,5
2023-02-13,317,65,0.13661015453778347,4
2023-02-14,308,52,0.0789439521619488,4
2023-02-15,338,56,0.0967681212484877,3
2023-02-16,345,45,0.11193899693665019,4
2023-02-17,311,56,0.09111904758694911,3
2023-02-18,262,55,0.0927486454090268,3
2023-02-19,330,53,0.08302846675020845,3
2023-02-20,255,52,0.1064231816684536,4
2023-02-21,332,45,0.1350574528015116,5
2023-02-22,326,42,0.07015283780063128,4
2023-02-23,309,53,0.14344330387534415,3
2023-02-24,339,53,0.11890876537482296,3
2023-02-25,263,54,0.132327321268003,4
2023-02-26,344,47,0.10561906926300116,3
2023-02-27,303,68,0.12795167014240633,3
2023-02-28,253,54,0.05162003973394672,4
2023-03-01,288,61,0.1318380424779535,4
2023-03-02,321,68,0.05401388590853665,4
2023-03-03,274,66,0.13899133763628624,3
2023-03-04,326,52,0.14919627472386432,3
2023-03-05,281,56,0.07940674621767778,5
2023-03-06,308,60,0.07103185562857936,5
2023-03-07,312,63,0.12653633638580408,4
2023-03-08,287,42,0.07530263409202533,5
2023-03-09,341,67,0.13655623831722036,3
2023-03-10,302,45,0.060284259215747676,5
2023-03-11,343,44,0.06259551963793583,3
2023-03-12,316,61,0.14791515551006157,4
2023-03-13,277,65,0.11738388982700046,4
2023-03-14,252,56,0.13468872244289526,3
2023-03-15,347,62,0.0824329377351518,5
2023-03-16,329,64,0.11764837495206044,4
2023-03-17,271,41,0.10942418273085971,4
2023-03-18,345,65,0.1103150120122947,5
2023-03-19,287,54,0.11825324595377215,5
2023-03-20,321,44,0.10753591731290985,3
2023-03-21,321,65,0.09290623693026659,5
2023-03-22,311,59,0.07759226943805468,5
2023-03-23,306,45,0.1268581330913202,5
2023-03-24,255,45,0.07262724300031861,3
2023-03-25,327,66,0.11923543061544141,3
2023-03-26,281,57,0.07333328226493266,4
2023-03-27,348,57,0.11253301699544539,3
2023-03-28,259,43,0.12470782671290288,4
2023-03-29,252,56,0.07187138889065392,5
2023-03-30,308,64,0.055994330086130834,4
2023-03-31,325,53,0.0630973742994174,4
2023-04-01,298,53,0.11059969672710254,5
2023-04-02,308,52,0.13494464062257355,4
2023-04-03,280,46,0.05449968212354244,3
2023-04-04,342,51,0.12341512590416462,3
2023-04-05,318,62,0.08413186459500521,3
2023-04-06,311,54,0.09785283699195224,3
2023-04-07,301,58,0.14288595498455656,4
2023-04-08,338,50,0.08319715047358454,4
2023-04-09,290,54,0.0965336933939486,5
2023-04-10,280,51,0.05136824147606811,4
2023-04-11,334,42,0.05815987200048384,4
2023-04-12,333,56,0.0758591591134784,4
2023-04-13,271,42,0.052785224082107444,5
2023-04-14,253,58,0.11313753260482509,3
2023-04-15,262,59,0.09263983568016225,4
2023-04-16,294,43,0.10481452027280219,5
2023-04-17,291,42,0.06746471858963296,5
2023-04-18,298,65,0.07959320294366161,5
2023-04-19,269,55,0.1163824474852725,3
2023-04-20,326,51,0.14653027236303998,4
2023-04-21,330,47,0.05504167736022092,5
2023-04-22,303,63,0.1390384320855266,3
2023-04-23,285,68,0.10768812013112083,5
2023-04-24,346,68,0.10639195667556237,5
2023-04-25,250,56,0.10002785352077603,5
2023-04-26,264,46,0.05693940859041834,5
2023-04-27,326,50,0.05898768517361607,5
2023-04-28,266,57,0.1100912005659086,3
2023-04-29,273,40,0.08409585714355583,4
2023-04-30,307,42,0.14172680665776805,4
2023-05-01,321,43,0.09065905373594722,4
2023-05-02,340,52,0.06432814587026411,4
